"apgcode","occurrences"
"xs22_69b88cz69d113","130774722"
"xs22_08o0u93zoif032","118900864"
"xs22_2llmz1qaar","25468683"
"xs22_69b8b96z2553","7087454"
"xs22_wg8kie0e96z2543","3218741"
"xs22_09v0v9z3210123","3081872"
"xs22_ca9bob96z33","2088263"
"xs22_ca1u8zx122ria4","1252338"
"xs22_02llmzcnge21","1146089"
"xs22_3lkljgz32w643","1030193"
"xs22_02596z69bp552","994263"
"xs22_g88bbob96z123","966303"
"xs22_69b8bqicz033","856420"
"xs22_gbb8bqicz123","825256"
"xs22_699m88gzcia521","706228"
"xs22_69b8b96z03552","676636"
"xs22_0g8ka96zraahz011","624886"
"xs22_69b8b96z6513","591263"
"xs22_gbb8bpicz123","555892"
"xs22_0iu0u93z643032","432952"
"xs22_69b8bpicz033","409528"
"xs22_039q4oz6a870123","400751"
"xs22_39e0ehe0e96","385559"
"xs22_02596z69d1d96","379082"
"xs22_03lkkl3z470641","345059"
"xs22_gbaabqicz123","312815"
"xs22_69bojbo8a6","293013"
"xs22_0g8ka96zraahzw11","274083"
"xs22_wg8kie0e93z2543","266281"
"xs22_3lk6gmiczw343","265869"
"xs22_ciiriiczwcic","263652"
"xs22_ra1v0rrz011","262138"
"xs22_3lkaacz343033","234682"
"xs22_0gbbo7picz121","221210"
"xs22_69b88c4gozw69a4","220293"
"xs22_0ggmmge96z346w1","201203"
"xs22_caab9a4z3553","185301"
"xs22_3lkkl3z122643","183892"
"xs22_69b8b96z03156","164262"
"xs22_0259acz69d1156","162924"
"xs22_3lkkl3z32w652","159896"
"xs22_2llmz12egnc","154291"
"xs22_g88b9icz178b5","150658"
"xs22_09v0rbz3210123","132618"
"xs22_69b88czw69d113","129978"
"xs22_04a96zoid1d96","129083"
"xs22_caabob96z33","116570"
"xs22_xg4s079iczca611","108606"
"xs22_069ak8gz8kie1221","106194"
"xs22_0c9baiczck871","104100"
"xs22_3lkljgz346w23","97097"
"xs22_0dr0rdz3210123","90580"
"xs22_wmmge1egoz643","88176"
"xs22_0gbb88gz8lld11","87452"
"xs22_c8970sicz02553","87416"
"xs22_caabaicz35421","83093"
"xs22_rb0v1qrz011","79534"
"xs22_g8e1t6zd55d","78886"
"xs22_69e0ehe0eic","76860"
"xs22_2ll6gmiczw343","73670"
"xs22_354kl3zx123cko","73631"
"xs22_354kl3zrq221","73538"
"xs22_cc0s2qrz3543","73193"
"xs22_69b88brzw696","71696"
"xs22_o8wci96z0hhldz01","71642"
"xs22_0iu0e93z643033","69453"
"xs22_gbbo79icz1221","68713"
"xs22_caar4koz3543","68215"
"xs22_08o0e93zoif033","67203"
"xs22_6t1u8z11078a6","65967"
"xs22_0g03pmz1230fgkc","65607"
"xs22_0c88b96z69d113","64912"
"xs22_0mmgu156z34a4","63625"
"xs22_0354kl3zokc321","63259"
"xs22_69b88czx311d96","62268"
"xs22_0354kozgs2qaa4","62167"
"xs22_069riicz69a6","60593"
"xs22_caab9a4z33w33","59787"
"xs22_g88ci96zo5ldz01","57539"
"xs22_39e0mp3z03543","57476"
"xs22_6530fhqb96","57460"
"xs22_0g6p7ob96z321","56548"
"xs22_3586178bqic","56148"
"xs22_g8861u0ooz011dd","55670"
"xs22_g88b9qj96z123","55342"
"xs22_0mmgehrz3443","55260"
"xs22_gs2qb96z6aa4","55153"
"xs22_03lkmzcnge21","53779"
"xs22_259a4o0o8a6zx643","53435"
"xs22_gg0si96zdlge2","53065"
"xs22_69b8brz0c871","52814"
"xs22_6996z6511dik8","51860"
"xs22_651u0uiczw643","51766"
"xs22_8e1lmz3303496","51622"
"xs22_0ggo0ep3z1qq221","51188"
"xs22_39e0mmzc97011","51069"
"xs22_4a9b8b96zw2552","51004"
"xs22_25a88a6z4a51156","48880"
"xs22_04s0v9zc970123","46572"
"xs22_69b8brz2596","45457"
"xs22_3lkmz12egnc","45088"
"xs22_4aicgn98czx1243","43793"
"xs22_69acz69d1ego","43684"
"xs22_gba9bqicz123","42120"
"xs22_259m88gzy01252ako","41858"
"xs22_8kiabaik8zx343","40256"
"xs22_gg0s29e0eicz1221","40218"
"xs22_09v0ccz321079c","40100"
"xs22_31e8gz31pl4ko","38475"
"xs22_xi5t2sgz69d11","38471"
"xs22_02lligzok96243","38354"
"xs22_0ggmmge93z346w1","37642"
"xs22_0mlhu06a4z346","37391"
"xs22_39e0ooz697066","37229"
"xs22_g88b9qb96z123","37227"
"xs22_ca2s0g8o653zx1221","37127"
"xs22_xm2s079a4z4a611","36409"
"xs22_c82t52z3303453","35935"
"xs22_25akgka52zca26","35476"
"xs22_69b88gzx320fgkc","35055"
"xs22_651u0okczw178c","34953"
"xs22_69e0ehe0e96","34449"
"xs22_069b88a6z4a953","34302"
"xs22_2llmggz1qq221","33498"
"xs22_259eg88m952zy0121","33304"
"xs22_062s0si96z3543","32752"
"xs22_8u1v0brz01221","31718"
"xs22_69bobbo8a6","31442"
"xs22_39e0ehe0eic","31190"
"xs22_39e0o4oz699701","31069"
"xs22_6t1qcz11078a6","30516"
"xs22_8e1v0rrz311","30226"
"xs22_6a88brz69d11","30112"
"xs22_4a9e0uiczw653","29764"
"xs22_0caabqicz2552","29390"
"xs22_0gjl453zrq221","27917"
"xs22_39egmmz651221","27835"
"xs22_y2ca952zg8o6513z11","27736"
"xs22_mlligoz1w62ac","27263"
"xs22_69baacz65156","27148"
"xs22_4a96z69d1dic","26922"
"xs22_caabaa4z3553","26889"
"xs22_3lkkl3z32w256","26859"
"xs22_39e0e970796","26449"
"xs22_j1u0mmz11w3452","26327"
"xs22_cimgm952z4aa4","25701"
"xs22_0gbbo3qicz321","25699"
"xs22_69mggozo4q226z01","25312"
"xs22_69b8brz035a4","25070"
"xs22_0259acz6511d96","24855"
"xs22_259acz359d113","23507"
"xs22_wcc0si96z4a953","23505"
"xs22_ca1v0rrz311","23209"
"xs22_0oe1t6zckld","22461"
"xs22_0mmgmp3z32w66","22268"
"xs22_69e0uicz2553","22256"
"xs22_w4a9bqicz6513","21983"
"xs22_352s0sicz3543","21968"
"xs22_gbb8b96z12552","21581"
"xs22_04aab9a4z4a953","21205"
"xs22_2llmz346078k8","21161"
"xs22_8k4o0ehrzw11y0352","21106"
"xs22_69b8bb8ozx352","20609"
"xs22_0g8e1t6z6b871","20463"
"xs22_697079e0eic","20253"
"xs22_259e0ehraa4","20204"
"xs22_0ml1e8z320115ac","20064"
"xs22_3p6gmicz3543","19662"
"xs22_0g8ka960uh3z1221","19596"
"xs22_2llmgmmz3201w1","19513"
"xs22_354s0sicz3543","19500"
"xs22_0gilligkcz346w1","19218"
"xs22_ca952z355d96","19171"
"xs22_g89fgkczd553","18984"
"xs22_okihe0e96z66","18952"
"xs22_09v0rdz3210123","18682"
"xs22_660u1u06996zy01","18609"
"xs22_069baacz4a953","18570"
"xs22_4aab8b96zw2552","18480"
"xs22_352sgzw4aaq2sg","18208"
"xs22_3lkkl3z32w346","17932"
"xs22_0mllmz122qq1","17879"
"xs22_c88bb8oz069d11","17526"
"xs22_69960u1u0oozy21","17456"
"xs22_2lmgmicz32w66","17170"
"xs22_0gjl453z122qr","16737"
"xs22_699e0eiczw6511","16716"
"xs22_2lmgmmz32w643","16665"
"xs22_wg8kic0fhoz2543","16510"
"xs22_c9baik8z3553","16427"
"xs22_0br0rdz3210123","16392"
"xs22_3hu0mmzc87011","16248"
"xs22_259acggkczw3543","16030"
"xs22_259aczw355d96","15851"
"xs22_3lkkl3z01w69a4","15723"
"xs22_0g8861t6z345d11","15711"
"xs22_ml1e8gzd5871","15570"
"xs22_69b88cicz0c871","15425"
"xs22_02ll68oz69a611","15065"
"xs22_69icwciczxdd11","15044"
"xs22_39mggozg4q226z11","15026"
"xs22_2lmgmmz346w23","15006"
"xs22_354kmk453zw3421","14901"
"xs22_4s0si96z178a6","14866"
"xs22_6s1v0rbzw1221","14846"
"xs22_c88b9cz311d93","14105"
"xs22_69b8brz6952","13893"
"xs22_0cimgm93z8ka6","13734"
"xs22_69fgfhoz0643","13551"
"xs22_04a9baa4z4a953","13487"
"xs22_330fhe0ehr","13408"
